raw_file	exp_conditions
abundance_SARS_Covid19_Negative_1_1	SARS_Covid19_Negative
abundance_SARS_Covid19_Negative_1_2	SARS_Covid19_Negative
abundance_SARS_Covid19_Negative_2_1	SARS_Covid19_Negative
abundance_SARS_Covid19_Negative_2_2	SARS_Covid19_Negative
abundance_SARS_Covid19_Negative_3_1	SARS_Covid19_Negative
abundance_SARS_Covid19_Negative_3_2	SARS_Covid19_Negative
abundance_SARS_Covid19_Negative_4_1	SARS_Covid19_Negative
abundance_SARS_Covid19_Negative_4_2	SARS_Covid19_Negative
abundance_SARS_Covid19_Negative_5_1	SARS_Covid19_Negative
abundance_SARS_Covid19_Negative_5_2	SARS_Covid19_Negative
abundance_SARS_Covid19_Positive_1_1	SARS_Covid19_Positive
abundance_SARS_Covid19_Positive_1_2	SARS_Covid19_Positive
abundance_SARS_Covid19_Positive_2_1	SARS_Covid19_Positive
abundance_SARS_Covid19_Positive_2_2	SARS_Covid19_Positive
abundance_SARS_Covid19_Positive_3_1	SARS_Covid19_Positive
abundance_SARS_Covid19_Positive_3_2	SARS_Covid19_Positive
abundance_SARS_Covid19_Positive_4_1	SARS_Covid19_Positive
abundance_SARS_Covid19_Positive_4_2	SARS_Covid19_Positive
abundance_SARS_Covid19_Positive_5_1	SARS_Covid19_Positive
abundance_SARS_Covid19_Positive_5_2	SARS_Covid19_Positive
