raw_file,exp_condition,biorep,fraction,techrep
UPS1_125amol_R2.raw,125amol,1,1,2
UPS1_2500amol_R2.raw,2500amol,1,1,2
UPS1_50000amol_R2.raw,50000amol,1,1,2
UPS1_500amol_R2.raw,500amol,1,1,2
UPS1_12500amol_R1.raw,12500amol,1,1,1
UPS1_125amol_R3.raw,125amol,1,1,3
UPS1_2500amol_R3.raw,2500amol,1,1,3
UPS1_50000amol_R3.raw,50000amol,1,1,3
UPS1_500amol_R3.raw,500amol,1,1,3
UPS1_25000amol_R1.raw,25000amol,1,1,1
UPS1_250amol_R1.raw,250amol,1,1,1
UPS1_5000amol_R1.raw,5000amol,1,1,1
UPS1_50amol_R1.raw,50amol,1,1,1
UPS1_12500amol_R2.raw,12500amol,1,1,2
UPS1_25000amol_R2.raw,25000amol,1,1,2
UPS1_250amol_R2.raw,250amol,1,1,2
UPS1_5000amol_R2.raw,5000amol,1,1,2
UPS1_50amol_R2.raw,50amol,1,1,2
UPS1_12500amol_R3.raw,12500amol,1,1,3
UPS1_25000amol_R3.raw,25000amol,1,1,3
UPS1_250amol_R3.raw,250amol,1,1,3
UPS1_5000amol_R3.raw,5000amol,1,1,3
UPS1_50amol_R3.raw,50amol,1,1,3
UPS1_125amol_R1.raw,125amol,1,1,1
UPS1_2500amol_R1.raw,2500amol,1,1,1
UPS1_50000amol_R1.raw,50000amol,1,1,1
UPS1_500amol_R1.raw,500amol,1,1,1
